Name: Beginner,Description: Beginner,Image Path: Beginner,
Plank Pose,"""Start in Adho Mukha Svanasana. Then inhale and draw your torso forward until the arms are perpendicular to the floor and the shoulders directly over the wrists, torso parallel to the floor.\n""+""\n"" + ""Press your outer arms inward and firm the bases of your index fingers into the floor. Firm your shoulder blades against your back, then spread them away from the spine. Also spread your collarbones away from the sternum.\n"" + ""\n"" + ”Press your front thighs up toward the ceiling, but resist your tailbone toward the floor as you lengthen it toward the heels. Lift the base of the skull away from the back of the neck and look straight down at the floor, keeping the throat and eyes soft.\n"" + ""\n"" + ""Plank Pose is one of the positions in the traditional Sun Salutation sequence. You can also perform this pose by itself and stay anywhere from 30 seconds to 1 minute."";",image/poseBeginning/plankPose.jpg,
Downward Facing Dog,"
Master Downward Facing Dog, a beginner’s pose that both opens and strengthens the upper body—great preparation for inversions.",image/poseBeginning/downwardFacingDog.jpg,
Standing Forward Bend,"See if you can’t makeover your entire flow by focusing on a few foundational poses. This week, try an advanced approach to Uttanasana.",image/poseBeginning/standingForwardBend.jpg,
Tree Pose,Vrksasana clarifies just how challenging it can be to stand on one leg.,image/poseBeginning/treePose.jpg,
Happy Baby Pose,"""Lie on your back. With an exhale, bend your knees into your belly.\n"" + ""Inhale, grip the outsides of your feet with your hands (if you have difficulty holding the feet directly with your hands, hold onto a belt looped over each sole.) Open your knees slightly wider than your torso, then bring them up toward your armpits.\n"" + ""Position each ankle directly over the knee, so your shins are perpendicular to the floor. Flex through the heels. Gently push your feet up into your hands (or the belts) as you pull your hands down to create a resistance.""
",image/poseBeginning/happyBabyPose.jpg,
Low Lunge,"""From Downward-Facing Dog (Adho Mukha Svanasana), exhale and step your right foot forward between your hands, aligning the right knee over the heel. Then lower your left knee to the floor and, keeping the right knee fixed in place, slide the left back until you feel a comfortable stretch in the left front thigh and groin. Turn the top of your left foot to the floor.\n"" + ""Inhale and lift your torso to upright. As you do, sweep your arms out to the sides and up, perpendicular to the floor. Draw the tailbone down toward the floor and lift your pubic bone toward your navel. Lift your chest from the firmness of your shoulder blades against the back torso.\n"" + ""Take your head back and look up, being careful not to jam the back of your neck. Reach your pinkies toward the ceiling. Hold for a minute, exhale your torso back to the right thigh and your hands to the floor, and turn your back toes under. With another exhale, lift your left knee off the floor and step back to Adho Mukha Svanasana. Repeat with the left foot forward for the same length of time.""",image/poseBeginning/lowLunge.jpg,
"High Lunge, Crescent Variation","""Start in Adho Mukha Svanasana (Downward-Facing Dog). Exhale and step your right foot forward between your hands, aligning your knee over the heel. Keep your left leg strong and firm.\n"" + ""Inhale and raise your torso to upright. At the same time, sweep your arms wide to the sides and raise them overhead, palms facing.\n"" + ""Be careful not to overarch the lower back. Lengthen your tailbone toward the floor and reach back through your left heel. This will bring the shoulder blades deeper into the back and help support your chest. Look up toward your thumbs.\n"" + ""Be sure not to press the front ribs forward. Draw them down and into the torso. Lift the arms from the lower back ribs, reaching through your little fingers. Hold for 30 seconds to a minute.\n"" + ""Then exhale, release the torso to the right thigh, sweep your hands back onto the floor, and, with another exhale, step your right foot back and return to Down Dog. Hold for a few breaths and repeat with the left foot forward for the same length of time.\n""",image/poseBeginning/highLungeCrescentVariation.jpg,
Standing Half Forward Bend,"""From Uttanasana (Standing Forward Bend), press your palms or fingertips into the floor (or blocks on the floor) beside your feet. With an inhale, straighten your elbows and arch your torso away from your thighs, finding as much length between your pubic bone and navel as possible.\n"" + ""With your palms (or fingertips) push down and back against the floor, and lift the top of your sternum up (away from the floor) and forward. You might bend your knees slightly to help get this movement, which will arch the back.\n"" + ""Look forward, but be careful not to compress the back of your neck. Hold the arched-back position for a few breaths. Then, with an exhale, release your torso into full Uttanasana\n""",image/poseBeginning/standingHalfForwardBend.jpg,
High Lunge ,"""From Uttanasana (Standing Forward Bend), bend your knees and, with an inhale, step your left foot back toward the back edge of your mat, with the ball of the foot on the floor. Step back far enough so that your right knee can form a right angle.\n"" + ""Lay your torso on your front thigh and lengthen it forward. To soften your right groin, imagine that the thigh is sinking toward the floor under your torso’s weight. Look forward. Simultaneously, firm the left thigh and push it up toward the ceiling, holding the left knee straight. Stretch your left heel toward the floor.\n"" + ""Exhale and step your right foot back beside the left. Repeat the above instructions, but reverse left and right. Or come into Adho Mukha Svanasana (Downward-Facing Dog), inhale, and step the right foot forward between your hands.\n""",image/poseBeginning/highLunge.jpg,
Root Bond,"""Students are typically instructed to contract, to a greater or lesser degree, the (perineal) muscles at the base of the pelvis. THIS SHOULD NOT BE ATTEMPTED WITHOUT THE GUIDANCE OF AN EXPERIENCED TEACHER. Here we’ll simply approximate Mula Bandha.\n"" + ""Learn Mula Bandha in Virasana (Hero Pose). Contact the “tripod” at the base of your pelvis which consists of three bones: the tail bone (coccyx) and the two heads of the thigh (femur) bones. Your coccyx should imaginatively lengthen down and through the floor. Your femur heads should similarly sink down and through the floor (if you can’t imagine this lay a sand bag across each top thigh). Finally with your hands, press your hip points together, narrowing them toward each other.\n"" + ""The combined actions of the bones will firm without hardening your lower belly, and spontaneously dome your perineum up into your torso without any conscious effort on your part. This latter action will in turn charge your spine, which will lift and lengthen your entire torso up through your crown.\n"" + ""Apply Mula Bandha as you end your inhale, then hold it during Kumbhaka. Slowly release it as you exhale, and soften it during the pause following the exhale.""
",image/poseBeginning/rootBond.jpg,
